bag
4-5
21-23
11-14
1
31
11-13
17-18
13-14
1-3
22
17
21
25-27
30
4
12
15-20
20-21
23
08-09
10-12
19-20
14
8-10
23-25
11-15
18-19
9-10
27-28
19-21
1-4
12-14
10-11
21-22
15-16
26-27
26-30
29-30
11-12
29-31
8
2-4
6-10
17-19
9
1-5
5-7
22-23
10-15
10
15-19
5
9-11
23-24
27
9-14
6-7
21-24
5-20
30-31
6
2-3
28-29
5-9
2
7-8
24-29
14-15
22-24
20-22
7-9
13-20
11
19
25-29
24
9-12
24-25
3
10-13
7
7-10
12-13
1-2
25
16-18
26-31
28
18
5-6
25-26
16
13
16-19
28-30
25-30
18-20
27-29
14-19
14-16
24-26
26-28
16-20
28-31
26
26-29
20-25
20
16-17
23-27
6-9
13-15
20-24
3-4
8-9
15
29
15-17
